"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1331","addRatingToMovieAndVerifyRatingIsAdded","Gradle suite","Mon Aug 25 19:55:50 UTC 2025","passed","Mon Aug 25 19:55:52 UTC 2025","org.themoviedb.movies.AddRatingToMovieHappyPathTests","Gradle test","org.themoviedb.movies.AddRatingToMovieHappyPathTests","addRatingToMovieAndVerifyRatingIsAdded"
"","1580","createListAddRandomMovieFromTopRatedToCreatedListAndVerifyPresence","Gradle suite","Mon Aug 25 19:55:47 UTC 2025","passed","Mon Aug 25 19:55:48 UTC 2025","org.themoviedb.lists.CreateListHappyPathTests","Gradle test","org.themoviedb.lists.CreateListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListAndVerifyPresence"
"","311","createListAndVerifySuccessfulResponse","Gradle suite","Mon Aug 25 19:55:49 UTC 2025","passed","Mon Aug 25 19:55:50 UTC 2025","org.themoviedb.lists.CreateListHappyPathTests","Gradle test","org.themoviedb.lists.CreateListHappyPathTests","createListAndVerifySuccessfulResponse"
"","123","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse","Gradle suite","Mon Aug 25 19:56:07 UTC 2025","passed","Mon Aug 25 19:56:07 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse"
"","651","createListAddRandomMovieFromTopRatedToCreatedListRemoveMovieFromListAndVerifyListIsEmpty","Gradle suite","Mon Aug 25 19:55:48 UTC 2025","passed","Mon Aug 25 19:55:49 UTC 2025","org.themoviedb.lists.CreateListHappyPathTests","Gradle test","org.themoviedb.lists.CreateListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListRemoveMovieFromListAndVerifyListIsEmpty"
"","204","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated","Gradle suite","Mon Aug 25 19:56:08 UTC 2025","passed","Mon Aug 25 19:56:08 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated"
"","269","addRandomMovieFromTopRatedToWatchlistAndVerifyPresence","Gradle suite","Mon Aug 25 19:56:06 UTC 2025","passed","Mon Aug 25 19:56:07 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","addRandomMovieFromTopRatedToWatchlistAndVerifyPresence"
"","369","addRandomSeveralMovieFromTopRatedToWatchlistAndVerifyPresence","Gradle suite","Mon Aug 25 19:56:08 UTC 2025","passed","Mon Aug 25 19:56:08 UTC 2025","org.themoviedb.watchlist.AddSeveralMoviesWatchListHappyPathTests","Gradle test","org.themoviedb.watchlist.AddSeveralMoviesWatchListHappyPathTests","addRandomSeveralMovieFromTopRatedToWatchlistAndVerifyPresence"
"","12339","addRatingToMovieRemoveRatingAndVerifyRatingIsRemoved","Gradle suite","Mon Aug 25 19:55:52 UTC 2025","broken","Mon Aug 25 19:56:05 UTC 2025","org.themoviedb.movies.RemoveRatingToMovieHappyPathTests","Gradle test","org.themoviedb.movies.RemoveRatingToMovieHappyPathTests","addRatingToMovieRemoveRatingAndVerifyRatingIsRemoved"
"","128","addRatingToMovieAndVerifySuccessfulResponse","Gradle suite","Mon Aug 25 19:55:52 UTC 2025","passed","Mon Aug 25 19:55:52 UTC 2025","org.themoviedb.movies.AddRatingToMovieHappyPathTests","Gradle test","org.themoviedb.movies.AddRatingToMovieHappyPathTests","addRatingToMovieAndVerifySuccessfulResponse"
