"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","926","createListAddRandomMovieFromTopRatedToCreatedListRemoveMovieFromListAndVerifyListIsEmpty","Gradle suite","Mon Aug 18 19:44:56 UTC 2025","passed","Mon Aug 18 19:44:56 UTC 2025","org.themoviedb.lists.CreateListHappyPathTests","Gradle test","org.themoviedb.lists.CreateListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListRemoveMovieFromListAndVerifyListIsEmpty"
"","905","createListAddRandomMovieFromTopRatedToCreatedListRemoveListAndVerifyListIsRemoved","Gradle suite","Mon Aug 18 19:44:57 UTC 2025","passed","Mon Aug 18 19:44:58 UTC 2025","org.themoviedb.lists.RemoveListHappyPathTests","Gradle test","org.themoviedb.lists.RemoveListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListRemoveListAndVerifyListIsRemoved"
"","1779","createListAddRandomMovieFromTopRatedToCreatedListAndVerifyPresence","Gradle suite","Mon Aug 18 19:44:53 UTC 2025","passed","Mon Aug 18 19:44:55 UTC 2025","org.themoviedb.lists.CreateListHappyPathTests","Gradle test","org.themoviedb.lists.CreateListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListAndVerifyPresence"
"","254","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated","Gradle suite","Mon Aug 18 19:45:18 UTC 2025","passed","Mon Aug 18 19:45:18 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated"
"","1279","updateMovieRatingAndVerifyRatingIsUpdated","Gradle suite","Mon Aug 18 19:45:13 UTC 2025","failed","Mon Aug 18 19:45:15 UTC 2025","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","Gradle test","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","updateMovieRatingAndVerifyRatingIsUpdated"
"","163","addRatingToMovieAndVerifySuccessfulResponse","Gradle suite","Mon Aug 18 19:45:00 UTC 2025","passed","Mon Aug 18 19:45:00 UTC 2025","org.themoviedb.movies.AddRatingToMovieHappyPathTests","Gradle test","org.themoviedb.movies.AddRatingToMovieHappyPathTests","addRatingToMovieAndVerifySuccessfulResponse"
"","486","createListAndVerifySuccessfulResponse","Gradle suite","Mon Aug 18 19:44:57 UTC 2025","passed","Mon Aug 18 19:44:57 UTC 2025","org.themoviedb.lists.CreateListHappyPathTests","Gradle test","org.themoviedb.lists.CreateListHappyPathTests","createListAndVerifySuccessfulResponse"
"","1326","addRatingToMovieAndVerifyRatingIsAdded","Gradle suite","Mon Aug 18 19:44:58 UTC 2025","passed","Mon Aug 18 19:45:00 UTC 2025","org.themoviedb.movies.AddRatingToMovieHappyPathTests","Gradle test","org.themoviedb.movies.AddRatingToMovieHappyPathTests","addRatingToMovieAndVerifyRatingIsAdded"
"","11540","addRatingToMovieRemoveRatingAndVerifyRatingIsRemoved","Gradle suite","Mon Aug 18 19:45:00 UTC 2025","broken","Mon Aug 18 19:45:12 UTC 2025","org.themoviedb.movies.RemoveRatingToMovieHappyPathTests","Gradle test","org.themoviedb.movies.RemoveRatingToMovieHappyPathTests","addRatingToMovieRemoveRatingAndVerifyRatingIsRemoved"
"","454","addRandomSeveralMovieFromTopRatedToWatchlistAndVerifyPresence","Gradle suite","Mon Aug 18 19:45:18 UTC 2025","passed","Mon Aug 18 19:45:19 UTC 2025","org.themoviedb.watchlist.AddSeveralMoviesWatchListHappyPathTests","Gradle test","org.themoviedb.watchlist.AddSeveralMoviesWatchListHappyPathTests","addRandomSeveralMovieFromTopRatedToWatchlistAndVerifyPresence"
