"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","747","createListAddRandomMovieFromTopRatedToCreatedListRemoveListAndVerifyListIsRemoved","Gradle suite","Wed Sep 10 20:45:06 UTC 2025","passed","Wed Sep 10 20:45:07 UTC 2025","org.themoviedb.lists.RemoveListHappyPathTests","Gradle test","org.themoviedb.lists.RemoveListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListRemoveListAndVerifyListIsRemoved"
"","170","addRandomMovieFromTopRatedToWatchlistAndVerifySuccessfulResponse","Gradle suite","Wed Sep 10 20:45:16 UTC 2025","passed","Wed Sep 10 20:45:17 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","addRandomMovieFromTopRatedToWatchlistAndVerifySuccessfulResponse"
"","1323","addRatingToMovieAndVerifyRatingIsAdded","Gradle suite","Wed Sep 10 20:45:07 UTC 2025","passed","Wed Sep 10 20:45:08 UTC 2025","org.themoviedb.movies.AddRatingToMovieHappyPathTests","Gradle test","org.themoviedb.movies.AddRatingToMovieHappyPathTests","addRatingToMovieAndVerifyRatingIsAdded"
"","765","createListAddRandomMovieFromTopRatedToCreatedListRemoveMovieFromListAndVerifyListIsEmpty","Gradle suite","Wed Sep 10 20:45:05 UTC 2025","passed","Wed Sep 10 20:45:06 UTC 2025","org.themoviedb.lists.CreateListHappyPathTests","Gradle test","org.themoviedb.lists.CreateListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListRemoveMovieFromListAndVerifyListIsEmpty"
"","250","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated","Gradle suite","Wed Sep 10 20:45:17 UTC 2025","passed","Wed Sep 10 20:45:18 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated"
"","146","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse","Gradle suite","Wed Sep 10 20:45:17 UTC 2025","passed","Wed Sep 10 20:45:17 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse"
"","156","addRatingToMovieAndVerifySuccessfulResponse","Gradle suite","Wed Sep 10 20:45:09 UTC 2025","passed","Wed Sep 10 20:45:09 UTC 2025","org.themoviedb.movies.AddRatingToMovieHappyPathTests","Gradle test","org.themoviedb.movies.AddRatingToMovieHappyPathTests","addRatingToMovieAndVerifySuccessfulResponse"
"","143","updateMovieRatingAndVerifySuccessfulResponse","Gradle suite","Wed Sep 10 20:45:16 UTC 2025","passed","Wed Sep 10 20:45:16 UTC 2025","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","Gradle test","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","updateMovieRatingAndVerifySuccessfulResponse"
"","301","addRandomMovieFromTopRatedToWatchlistAndVerifyPresence","Gradle suite","Wed Sep 10 20:45:16 UTC 2025","passed","Wed Sep 10 20:45:16 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","addRandomMovieFromTopRatedToWatchlistAndVerifyPresence"
"","251","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated","Gradle suite","Wed Sep 10 20:45:17 UTC 2025","passed","Wed Sep 10 20:45:17 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated"
