"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 13 21:12:36 GMT 2025","Wed Aug 13 21:12:37 GMT 2025","525","Gradle suite","Gradle test","org.themoviedb.lists.RemoveListHappyPathTests","org.themoviedb.lists.RemoveListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListRemoveListAndVerifyListIsRemoved","createListAddRandomMovieFromTopRatedToCreatedListRemoveListAndVerifyListIsRemoved",""
"passed","Wed Aug 13 21:12:33 GMT 2025","Wed Aug 13 21:12:35 GMT 2025","1480","Gradle suite","Gradle test","org.themoviedb.lists.CreateListHappyPathTests","org.themoviedb.lists.CreateListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListAndVerifyPresence","createListAddRandomMovieFromTopRatedToCreatedListAndVerifyPresence",""
"passed","Wed Aug 13 21:12:36 GMT 2025","Wed Aug 13 21:12:36 GMT 2025","263","Gradle suite","Gradle test","org.themoviedb.lists.CreateListHappyPathTests","org.themoviedb.lists.CreateListHappyPathTests","createListAndVerifySuccessfulResponse","createListAndVerifySuccessfulResponse",""
"passed","Wed Aug 13 21:12:53 GMT 2025","Wed Aug 13 21:12:53 GMT 2025","135","Gradle suite","Gradle test","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","addRandomMovieFromTopRatedToWatchlistAndVerifySuccessfulResponse","addRandomMovieFromTopRatedToWatchlistAndVerifySuccessfulResponse",""
"failed","Wed Aug 13 21:12:51 GMT 2025","Wed Aug 13 21:12:52 GMT 2025","1200","Gradle suite","Gradle test","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","updateMovieRatingAndVerifyRatingIsUpdated","updateMovieRatingAndVerifyRatingIsUpdated",""
"passed","Wed Aug 13 21:12:53 GMT 2025","Wed Aug 13 21:12:54 GMT 2025","183","Gradle suite","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated",""
"passed","Wed Aug 13 21:12:53 GMT 2025","Wed Aug 13 21:12:53 GMT 2025","112","Gradle suite","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse",""
"passed","Wed Aug 13 21:12:37 GMT 2025","Wed Aug 13 21:12:38 GMT 2025","1226","Gradle suite","Gradle test","org.themoviedb.movies.AddRatingToMovieHappyPathTests","org.themoviedb.movies.AddRatingToMovieHappyPathTests","addRatingToMovieAndVerifyRatingIsAdded","addRatingToMovieAndVerifyRatingIsAdded",""
"passed","Wed Aug 13 21:12:53 GMT 2025","Wed Aug 13 21:12:53 GMT 2025","236","Gradle suite","Gradle test","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","addRandomMovieFromTopRatedToWatchlistAndVerifyPresence","addRandomMovieFromTopRatedToWatchlistAndVerifyPresence",""
"passed","Wed Aug 13 21:12:53 GMT 2025","Wed Aug 13 21:12:53 GMT 2025","112","Gradle suite","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse",""
