"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 14 20:53:10 GMT 2025","Thu Aug 14 20:53:10 GMT 2025","141","Gradle suite","Gradle test","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","addRandomMovieFromTopRatedToWatchlistAndVerifyPresence","addRandomMovieFromTopRatedToWatchlistAndVerifyPresence",""
"passed","Thu Aug 14 20:53:05 GMT 2025","Thu Aug 14 20:53:06 GMT 2025","1150","Gradle suite","Gradle test","org.themoviedb.movies.AddRatingToMovieHappyPathTests","org.themoviedb.movies.AddRatingToMovieHappyPathTests","addRatingToMovieAndVerifyRatingIsAdded","addRatingToMovieAndVerifyRatingIsAdded",""
"passed","Thu Aug 14 20:53:10 GMT 2025","Thu Aug 14 20:53:10 GMT 2025","102","Gradle suite","Gradle test","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","addRandomMovieFromTopRatedToWatchlistAndVerifySuccessfulResponse","addRandomMovieFromTopRatedToWatchlistAndVerifySuccessfulResponse",""
"failed","Thu Aug 14 20:53:09 GMT 2025","Thu Aug 14 20:53:10 GMT 2025","1129","Gradle suite","Gradle test","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","updateMovieRatingAndVerifyRatingIsUpdated","updateMovieRatingAndVerifyRatingIsUpdated",""
"passed","Thu Aug 14 20:53:01 GMT 2025","Thu Aug 14 20:53:03 GMT 2025","1658","Gradle suite","Gradle test","org.themoviedb.lists.CreateListHappyPathTests","org.themoviedb.lists.CreateListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListAndVerifyPresence","createListAddRandomMovieFromTopRatedToCreatedListAndVerifyPresence",""
"passed","Thu Aug 14 20:53:11 GMT 2025","Thu Aug 14 20:53:11 GMT 2025","76","Gradle suite","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse",""
"passed","Thu Aug 14 20:53:04 GMT 2025","Thu Aug 14 20:53:04 GMT 2025","237","Gradle suite","Gradle test","org.themoviedb.lists.CreateListHappyPathTests","org.themoviedb.lists.CreateListHappyPathTests","createListAndVerifySuccessfulResponse","createListAndVerifySuccessfulResponse",""
"passed","Thu Aug 14 20:53:11 GMT 2025","Thu Aug 14 20:53:11 GMT 2025","103","Gradle suite","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse",""
"passed","Thu Aug 14 20:53:04 GMT 2025","Thu Aug 14 20:53:05 GMT 2025","458","Gradle suite","Gradle test","org.themoviedb.lists.RemoveListHappyPathTests","org.themoviedb.lists.RemoveListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListRemoveListAndVerifyListIsRemoved","createListAddRandomMovieFromTopRatedToCreatedListRemoveListAndVerifyListIsRemoved",""
"passed","Thu Aug 14 20:53:11 GMT 2025","Thu Aug 14 20:53:11 GMT 2025","228","Gradle suite","Gradle test","org.themoviedb.watchlist.AddSeveralMoviesWatchListHappyPathTests","org.themoviedb.watchlist.AddSeveralMoviesWatchListHappyPathTests","addRandomSeveralMovieFromTopRatedToWatchlistAndVerifyPresence","addRandomSeveralMovieFromTopRatedToWatchlistAndVerifyPresence",""
