"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","125","addRatingToMovieAndVerifySuccessfulResponse","All API tests","Mon Oct 13 20:24:57 UTC 2025","passed","Mon Oct 13 20:24:57 UTC 2025","org.themoviedb.movies.AddRatingToMovieHappyPathTests","All API tests","org.themoviedb.movies.AddRatingToMovieHappyPathTests","addRatingToMovieAndVerifySuccessfulResponse"
"","1320","updateMovieRatingAndVerifyRatingIsUpdated","All API tests","Mon Oct 13 20:24:57 UTC 2025","failed","Mon Oct 13 20:24:58 UTC 2025","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","All API tests","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","updateMovieRatingAndVerifyRatingIsUpdated"
"","134","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated","All API tests","Mon Oct 13 20:24:58 UTC 2025","passed","Mon Oct 13 20:24:58 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","All API tests","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated"
"","444","createListAddRandomMovieFromTopRatedToCreatedListRemoveMovieFromListAndVerifyListIsEmpty","All API tests","Mon Oct 13 20:24:58 UTC 2025","passed","Mon Oct 13 20:24:58 UTC 2025","org.themoviedb.lists.CreateListHappyPathTests","All API tests","org.themoviedb.lists.CreateListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListRemoveMovieFromListAndVerifyListIsEmpty"
"","535","addRandomMovieFromTopRatedToWatchlistAndVerifySuccessfulResponse","All API tests","Mon Oct 13 20:24:57 UTC 2025","passed","Mon Oct 13 20:24:57 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","All API tests","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","addRandomMovieFromTopRatedToWatchlistAndVerifySuccessfulResponse"
"","1785","createListAddRandomMovieFromTopRatedToCreatedListAndVerifyPresence","All API tests","Mon Oct 13 20:24:56 UTC 2025","passed","Mon Oct 13 20:24:57 UTC 2025","org.themoviedb.lists.CreateListHappyPathTests","All API tests","org.themoviedb.lists.CreateListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListAndVerifyPresence"
"","87","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse","All API tests","Mon Oct 13 20:24:57 UTC 2025","passed","Mon Oct 13 20:24:58 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","All API tests","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse"
"","1430","addRatingToMovieAndVerifyRatingIsAdded","All API tests","Mon Oct 13 20:24:56 UTC 2025","passed","Mon Oct 13 20:24:57 UTC 2025","org.themoviedb.movies.AddRatingToMovieHappyPathTests","All API tests","org.themoviedb.movies.AddRatingToMovieHappyPathTests","addRatingToMovieAndVerifyRatingIsAdded"
"","142","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse","All API tests","Mon Oct 13 20:24:57 UTC 2025","passed","Mon Oct 13 20:24:57 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","All API tests","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse"
"","226","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated","All API tests","Mon Oct 13 20:24:58 UTC 2025","passed","Mon Oct 13 20:24:58 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","All API tests","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated"
"","448","addRandomSeveralMovieFromTopRatedToWatchlistAndVerifyPresence","All API tests","Mon Oct 13 20:24:56 UTC 2025","passed","Mon Oct 13 20:24:56 UTC 2025","org.themoviedb.watchlist.AddSeveralMoviesWatchListHappyPathTests","All API tests","org.themoviedb.watchlist.AddSeveralMoviesWatchListHappyPathTests","addRandomSeveralMovieFromTopRatedToWatchlistAndVerifyPresence"
"","221","createListAndVerifySuccessfulResponse","All API tests","Mon Oct 13 20:24:58 UTC 2025","passed","Mon Oct 13 20:24:59 UTC 2025","org.themoviedb.lists.CreateListHappyPathTests","All API tests","org.themoviedb.lists.CreateListHappyPathTests","createListAndVerifySuccessfulResponse"
"","702","addRandomMovieFromTopRatedToWatchlistAndVerifyPresence","All API tests","Mon Oct 13 20:24:56 UTC 2025","passed","Mon Oct 13 20:24:56 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","All API tests","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","addRandomMovieFromTopRatedToWatchlistAndVerifyPresence"
"","3395","addRatingToMovieRemoveRatingAndVerifyRatingIsRemoved","All API tests","Mon Oct 13 20:24:57 UTC 2025","passed","Mon Oct 13 20:25:00 UTC 2025","org.themoviedb.movies.RemoveMovieRatingHappyPathTests","All API tests","org.themoviedb.movies.RemoveMovieRatingHappyPathTests","addRatingToMovieRemoveRatingAndVerifyRatingIsRemoved"
"","84","updateMovieRatingAndVerifySuccessfulResponse","All API tests","Mon Oct 13 20:25:00 UTC 2025","passed","Mon Oct 13 20:25:00 UTC 2025","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","All API tests","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","updateMovieRatingAndVerifySuccessfulResponse"
"","2024","createListAddRandomMovieFromTopRatedToCreatedListRemoveListAndVerifyListIsRemoved","All API tests","Mon Oct 13 20:24:56 UTC 2025","passed","Mon Oct 13 20:24:58 UTC 2025","org.themoviedb.lists.RemoveListHappyPathTests","All API tests","org.themoviedb.lists.RemoveListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListRemoveListAndVerifyListIsRemoved"
