"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1705","createListAddRandomMovieFromTopRatedToCreatedListAndVerifyPresence","All API tests","Wed Sep 24 20:48:25 UTC 2025","passed","Wed Sep 24 20:48:27 UTC 2025","org.themoviedb.lists.CreateListHappyPathTests","All API tests","org.themoviedb.lists.CreateListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListAndVerifyPresence"
"","249","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse","All API tests","Wed Sep 24 20:48:27 UTC 2025","passed","Wed Sep 24 20:48:27 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","All API tests","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse"
"","405","createListAndVerifySuccessfulResponse","All API tests","Wed Sep 24 20:48:28 UTC 2025","passed","Wed Sep 24 20:48:28 UTC 2025","org.themoviedb.lists.CreateListHappyPathTests","All API tests","org.themoviedb.lists.CreateListHappyPathTests","createListAndVerifySuccessfulResponse"
"","154","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated","All API tests","Wed Sep 24 20:48:27 UTC 2025","passed","Wed Sep 24 20:48:27 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","All API tests","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated"
"","84","updateMovieRatingAndVerifySuccessfulResponse","All API tests","Wed Sep 24 20:48:29 UTC 2025","passed","Wed Sep 24 20:48:29 UTC 2025","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","All API tests","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","updateMovieRatingAndVerifySuccessfulResponse"
"","214","addRandomMovieFromTopRatedToWatchlistAndVerifySuccessfulResponse","All API tests","Wed Sep 24 20:48:26 UTC 2025","passed","Wed Sep 24 20:48:26 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","All API tests","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","addRandomMovieFromTopRatedToWatchlistAndVerifySuccessfulResponse"
"","777","addRandomMovieFromTopRatedToWatchlistAndVerifyPresence","All API tests","Wed Sep 24 20:48:25 UTC 2025","passed","Wed Sep 24 20:48:26 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","All API tests","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","addRandomMovieFromTopRatedToWatchlistAndVerifyPresence"
"","1602","addRatingToMovieAndVerifyRatingIsAdded","All API tests","Wed Sep 24 20:48:25 UTC 2025","passed","Wed Sep 24 20:48:27 UTC 2025","org.themoviedb.movies.AddRatingToMovieHappyPathTests","All API tests","org.themoviedb.movies.AddRatingToMovieHappyPathTests","addRatingToMovieAndVerifyRatingIsAdded"
"","201","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated","All API tests","Wed Sep 24 20:48:27 UTC 2025","passed","Wed Sep 24 20:48:27 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","All API tests","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated"
"","653","createListAddRandomMovieFromTopRatedToCreatedListRemoveMovieFromListAndVerifyListIsEmpty","All API tests","Wed Sep 24 20:48:27 UTC 2025","passed","Wed Sep 24 20:48:28 UTC 2025","org.themoviedb.lists.CreateListHappyPathTests","All API tests","org.themoviedb.lists.CreateListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListRemoveMovieFromListAndVerifyListIsEmpty"
"","597","addRandomSeveralMovieFromTopRatedToWatchlistAndVerifyPresence","All API tests","Wed Sep 24 20:48:25 UTC 2025","passed","Wed Sep 24 20:48:26 UTC 2025","org.themoviedb.watchlist.AddSeveralMoviesWatchListHappyPathTests","All API tests","org.themoviedb.watchlist.AddSeveralMoviesWatchListHappyPathTests","addRandomSeveralMovieFromTopRatedToWatchlistAndVerifyPresence"
"","1228","updateMovieRatingAndVerifyRatingIsUpdated","All API tests","Wed Sep 24 20:48:26 UTC 2025","passed","Wed Sep 24 20:48:28 UTC 2025","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","All API tests","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","updateMovieRatingAndVerifyRatingIsUpdated"
"","179","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse","All API tests","Wed Sep 24 20:48:27 UTC 2025","passed","Wed Sep 24 20:48:27 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","All API tests","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse"
"","117","addRatingToMovieAndVerifySuccessfulResponse","All API tests","Wed Sep 24 20:48:27 UTC 2025","passed","Wed Sep 24 20:48:27 UTC 2025","org.themoviedb.movies.AddRatingToMovieHappyPathTests","All API tests","org.themoviedb.movies.AddRatingToMovieHappyPathTests","addRatingToMovieAndVerifySuccessfulResponse"
"","2397","addRatingToMovieRemoveRatingAndVerifyRatingIsRemoved","All API tests","Wed Sep 24 20:48:26 UTC 2025","passed","Wed Sep 24 20:48:29 UTC 2025","org.themoviedb.movies.RemoveMovieRatingHappyPathTests","All API tests","org.themoviedb.movies.RemoveMovieRatingHappyPathTests","addRatingToMovieRemoveRatingAndVerifyRatingIsRemoved"
"","1869","createListAddRandomMovieFromTopRatedToCreatedListRemoveListAndVerifyListIsRemoved","All API tests","Wed Sep 24 20:48:25 UTC 2025","passed","Wed Sep 24 20:48:27 UTC 2025","org.themoviedb.lists.RemoveListHappyPathTests","All API tests","org.themoviedb.lists.RemoveListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListRemoveListAndVerifyListIsRemoved"
