"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","104","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse","Gradle suite","Mon Aug 18 20:49:52 UTC 2025","passed","Mon Aug 18 20:49:52 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse"
"","3511","addRatingToMovieRemoveRatingAndVerifyRatingIsRemoved","Gradle suite","Mon Aug 18 20:49:43 UTC 2025","passed","Mon Aug 18 20:49:47 UTC 2025","org.themoviedb.movies.RemoveMovieRatingHappyPathTests","Gradle test","org.themoviedb.movies.RemoveMovieRatingHappyPathTests","addRatingToMovieRemoveRatingAndVerifyRatingIsRemoved"
"","138","addRatingToMovieAndVerifySuccessfulResponse","Gradle suite","Mon Aug 18 20:49:43 UTC 2025","passed","Mon Aug 18 20:49:43 UTC 2025","org.themoviedb.movies.AddRatingToMovieHappyPathTests","Gradle test","org.themoviedb.movies.AddRatingToMovieHappyPathTests","addRatingToMovieAndVerifySuccessfulResponse"
"","1525","createListAddRandomMovieFromTopRatedToCreatedListAndVerifyPresence","Gradle suite","Mon Aug 18 20:49:37 UTC 2025","passed","Mon Aug 18 20:49:39 UTC 2025","org.themoviedb.lists.CreateListHappyPathTests","Gradle test","org.themoviedb.lists.CreateListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListAndVerifyPresence"
"","469","createListAndVerifySuccessfulResponse","Gradle suite","Mon Aug 18 20:49:40 UTC 2025","passed","Mon Aug 18 20:49:40 UTC 2025","org.themoviedb.lists.CreateListHappyPathTests","Gradle test","org.themoviedb.lists.CreateListHappyPathTests","createListAndVerifySuccessfulResponse"
"","165","addRandomMovieFromTopRatedToWatchlistAndVerifySuccessfulResponse","Gradle suite","Mon Aug 18 20:49:51 UTC 2025","passed","Mon Aug 18 20:49:51 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","addRandomMovieFromTopRatedToWatchlistAndVerifySuccessfulResponse"
"","120","updateMovieRatingAndVerifySuccessfulResponse","Gradle suite","Mon Aug 18 20:49:51 UTC 2025","passed","Mon Aug 18 20:49:51 UTC 2025","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","Gradle test","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","updateMovieRatingAndVerifySuccessfulResponse"
"","109","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse","Gradle suite","Mon Aug 18 20:49:52 UTC 2025","passed","Mon Aug 18 20:49:52 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse"
"","848","createListAddRandomMovieFromTopRatedToCreatedListRemoveListAndVerifyListIsRemoved","Gradle suite","Mon Aug 18 20:49:41 UTC 2025","passed","Mon Aug 18 20:49:41 UTC 2025","org.themoviedb.lists.RemoveListHappyPathTests","Gradle test","org.themoviedb.lists.RemoveListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListRemoveListAndVerifyListIsRemoved"
"","1199","updateMovieRatingAndVerifyRatingIsUpdated","Gradle suite","Mon Aug 18 20:49:48 UTC 2025","failed","Mon Aug 18 20:49:49 UTC 2025","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","Gradle test","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","updateMovieRatingAndVerifyRatingIsUpdated"
"","175","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated","Gradle suite","Mon Aug 18 20:49:52 UTC 2025","passed","Mon Aug 18 20:49:52 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated"
"","872","createListAddRandomMovieFromTopRatedToCreatedListRemoveMovieFromListAndVerifyListIsEmpty","Gradle suite","Mon Aug 18 20:49:39 UTC 2025","passed","Mon Aug 18 20:49:40 UTC 2025","org.themoviedb.lists.CreateListHappyPathTests","Gradle test","org.themoviedb.lists.CreateListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListRemoveMovieFromListAndVerifyListIsEmpty"
"","301","addRandomSeveralMovieFromTopRatedToWatchlistAndVerifyPresence","Gradle suite","Mon Aug 18 20:49:52 UTC 2025","passed","Mon Aug 18 20:49:53 UTC 2025","org.themoviedb.watchlist.AddSeveralMoviesWatchListHappyPathTests","Gradle test","org.themoviedb.watchlist.AddSeveralMoviesWatchListHappyPathTests","addRandomSeveralMovieFromTopRatedToWatchlistAndVerifyPresence"
"","249","addRandomMovieFromTopRatedToWatchlistAndVerifyPresence","Gradle suite","Mon Aug 18 20:49:51 UTC 2025","passed","Mon Aug 18 20:49:51 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","addRandomMovieFromTopRatedToWatchlistAndVerifyPresence"
"","1299","addRatingToMovieAndVerifyRatingIsAdded","Gradle suite","Mon Aug 18 20:49:41 UTC 2025","passed","Mon Aug 18 20:49:43 UTC 2025","org.themoviedb.movies.AddRatingToMovieHappyPathTests","Gradle test","org.themoviedb.movies.AddRatingToMovieHappyPathTests","addRatingToMovieAndVerifyRatingIsAdded"
"","177","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated","Gradle suite","Mon Aug 18 20:49:52 UTC 2025","passed","Mon Aug 18 20:49:52 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated"
