"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2215","addRatingToMovieRemoveRatingAndVerifyRatingIsRemoved","Gradle suite","Tue Aug 19 20:33:34 UTC 2025","passed","Tue Aug 19 20:33:36 UTC 2025","org.themoviedb.movies.RemoveMovieRatingHappyPathTests","Gradle test","org.themoviedb.movies.RemoveMovieRatingHappyPathTests","addRatingToMovieRemoveRatingAndVerifyRatingIsRemoved"
"","83","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated","Gradle suite","Tue Aug 19 20:33:41 UTC 2025","passed","Tue Aug 19 20:33:41 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated"
"","64","updateMovieRatingAndVerifySuccessfulResponse","Gradle suite","Tue Aug 19 20:33:41 UTC 2025","passed","Tue Aug 19 20:33:41 UTC 2025","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","Gradle test","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","updateMovieRatingAndVerifySuccessfulResponse"
"","72","addRatingToMovieAndVerifySuccessfulResponse","Gradle suite","Tue Aug 19 20:33:34 UTC 2025","passed","Tue Aug 19 20:33:34 UTC 2025","org.themoviedb.movies.AddRatingToMovieHappyPathTests","Gradle test","org.themoviedb.movies.AddRatingToMovieHappyPathTests","addRatingToMovieAndVerifySuccessfulResponse"
"","76","addRandomMovieFromTopRatedToWatchlistAndVerifySuccessfulResponse","Gradle suite","Tue Aug 19 20:33:41 UTC 2025","passed","Tue Aug 19 20:33:41 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","addRandomMovieFromTopRatedToWatchlistAndVerifySuccessfulResponse"
"","69","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse","Gradle suite","Tue Aug 19 20:33:41 UTC 2025","passed","Tue Aug 19 20:33:41 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse"
"","181","addRandomSeveralMovieFromTopRatedToWatchlistAndVerifyPresence","Gradle suite","Tue Aug 19 20:33:42 UTC 2025","passed","Tue Aug 19 20:33:42 UTC 2025","org.themoviedb.watchlist.AddSeveralMoviesWatchListHappyPathTests","Gradle test","org.themoviedb.watchlist.AddSeveralMoviesWatchListHappyPathTests","addRandomSeveralMovieFromTopRatedToWatchlistAndVerifyPresence"
"","68","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse","Gradle suite","Tue Aug 19 20:33:41 UTC 2025","passed","Tue Aug 19 20:33:41 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse"
"","1537","createListAddRandomMovieFromTopRatedToCreatedListAndVerifyPresence","Gradle suite","Tue Aug 19 20:33:27 UTC 2025","passed","Tue Aug 19 20:33:29 UTC 2025","org.themoviedb.lists.CreateListHappyPathTests","Gradle test","org.themoviedb.lists.CreateListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListAndVerifyPresence"
"","2181","addRatingToMovieAndVerifyRatingIsAdded","Gradle suite","Tue Aug 19 20:33:31 UTC 2025","passed","Tue Aug 19 20:33:34 UTC 2025","org.themoviedb.movies.AddRatingToMovieHappyPathTests","Gradle test","org.themoviedb.movies.AddRatingToMovieHappyPathTests","addRatingToMovieAndVerifyRatingIsAdded"
