"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 14 20:06:38 GMT 2025","Thu Aug 14 20:06:38 GMT 2025","222","Gradle suite","Gradle test","org.themoviedb.lists.CreateListHappyPathTests","org.themoviedb.lists.CreateListHappyPathTests","createListAndVerifySuccessfulResponse","createListAndVerifySuccessfulResponse",""
"failed","Thu Aug 14 20:06:44 GMT 2025","Thu Aug 14 20:06:44 GMT 2025","153","Gradle suite","Gradle test","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","updateMovieRatingAndVerifySuccessfulResponse","updateMovieRatingAndVerifySuccessfulResponse",""
"passed","Thu Aug 14 20:06:40 GMT 2025","Thu Aug 14 20:06:40 GMT 2025","65","Gradle suite","Gradle test","org.themoviedb.movies.AddRatingToMovieHappyPathTests","org.themoviedb.movies.AddRatingToMovieHappyPathTests","addRatingToMovieAndVerifySuccessfulResponse","addRatingToMovieAndVerifySuccessfulResponse",""
"passed","Thu Aug 14 20:06:45 GMT 2025","Thu Aug 14 20:06:45 GMT 2025","190","Gradle suite","Gradle test","org.themoviedb.watchlist.AddSeveralMoviesWatchListHappyPathTests","org.themoviedb.watchlist.AddSeveralMoviesWatchListHappyPathTests","addRandomSeveralMovieFromTopRatedToWatchlistAndVerifyPresence","addRandomSeveralMovieFromTopRatedToWatchlistAndVerifyPresence",""
"passed","Thu Aug 14 20:06:45 GMT 2025","Thu Aug 14 20:06:45 GMT 2025","88","Gradle suite","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated",""
"passed","Thu Aug 14 20:06:43 GMT 2025","Thu Aug 14 20:06:44 GMT 2025","1129","Gradle suite","Gradle test","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","updateMovieRatingAndVerifyRatingIsUpdated","updateMovieRatingAndVerifyRatingIsUpdated",""
"passed","Thu Aug 14 20:06:44 GMT 2025","Thu Aug 14 20:06:44 GMT 2025","79","Gradle suite","Gradle test","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","addRandomMovieFromTopRatedToWatchlistAndVerifySuccessfulResponse","addRandomMovieFromTopRatedToWatchlistAndVerifySuccessfulResponse",""
"passed","Thu Aug 14 20:06:39 GMT 2025","Thu Aug 14 20:06:39 GMT 2025","335","Gradle suite","Gradle test","org.themoviedb.lists.RemoveListHappyPathTests","org.themoviedb.lists.RemoveListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListRemoveListAndVerifyListIsRemoved","createListAddRandomMovieFromTopRatedToCreatedListRemoveListAndVerifyListIsRemoved",""
"passed","Thu Aug 14 20:06:40 GMT 2025","Thu Aug 14 20:06:43 GMT 2025","2182","Gradle suite","Gradle test","org.themoviedb.movies.RemoveRatingToMovieHappyPathTests","org.themoviedb.movies.RemoveRatingToMovieHappyPathTests","addRatingToMovieRemoveRatingAndVerifyRatingIsRemoved","addRatingToMovieRemoveRatingAndVerifyRatingIsRemoved",""
"passed","Thu Aug 14 20:06:44 GMT 2025","Thu Aug 14 20:06:44 GMT 2025","119","Gradle suite","Gradle test","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","addRandomMovieFromTopRatedToWatchlistAndVerifyPresence","addRandomMovieFromTopRatedToWatchlistAndVerifyPresence",""
