"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","227","addRandomMovieFromTopRatedToWatchlistAndVerifyPresence","Gradle suite","Wed Sep 03 21:01:35 UTC 2025","passed","Wed Sep 03 21:01:35 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","addRandomMovieFromTopRatedToWatchlistAndVerifyPresence"
"","136","addRandomMovieFromTopRatedToWatchlistAndVerifySuccessfulResponse","Gradle suite","Wed Sep 03 21:01:35 UTC 2025","passed","Wed Sep 03 21:01:35 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","addRandomMovieFromTopRatedToWatchlistAndVerifySuccessfulResponse"
"","1294","createListAddRandomMovieFromTopRatedToCreatedListAndVerifyPresence","Gradle suite","Wed Sep 03 21:01:23 UTC 2025","passed","Wed Sep 03 21:01:25 UTC 2025","org.themoviedb.lists.CreateListHappyPathTests","Gradle test","org.themoviedb.lists.CreateListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListAndVerifyPresence"
"","562","createListAddRandomMovieFromTopRatedToCreatedListRemoveMovieFromListAndVerifyListIsEmpty","Gradle suite","Wed Sep 03 21:01:25 UTC 2025","passed","Wed Sep 03 21:01:25 UTC 2025","org.themoviedb.lists.CreateListHappyPathTests","Gradle test","org.themoviedb.lists.CreateListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListRemoveMovieFromListAndVerifyListIsEmpty"
"","111","updateMovieRatingAndVerifySuccessfulResponse","Gradle suite","Wed Sep 03 21:01:34 UTC 2025","passed","Wed Sep 03 21:01:35 UTC 2025","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","Gradle test","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","updateMovieRatingAndVerifySuccessfulResponse"
"","132","addRatingToMovieAndVerifySuccessfulResponse","Gradle suite","Wed Sep 03 21:01:28 UTC 2025","passed","Wed Sep 03 21:01:28 UTC 2025","org.themoviedb.movies.AddRatingToMovieHappyPathTests","Gradle test","org.themoviedb.movies.AddRatingToMovieHappyPathTests","addRatingToMovieAndVerifySuccessfulResponse"
"","310","addRandomSeveralMovieFromTopRatedToWatchlistAndVerifyPresence","Gradle suite","Wed Sep 03 21:01:36 UTC 2025","passed","Wed Sep 03 21:01:36 UTC 2025","org.themoviedb.watchlist.AddSeveralMoviesWatchListHappyPathTests","Gradle test","org.themoviedb.watchlist.AddSeveralMoviesWatchListHappyPathTests","addRandomSeveralMovieFromTopRatedToWatchlistAndVerifyPresence"
"","115","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse","Gradle suite","Wed Sep 03 21:01:36 UTC 2025","passed","Wed Sep 03 21:01:36 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse"
"","265","createListAndVerifySuccessfulResponse","Gradle suite","Wed Sep 03 21:01:26 UTC 2025","passed","Wed Sep 03 21:01:26 UTC 2025","org.themoviedb.lists.CreateListHappyPathTests","Gradle test","org.themoviedb.lists.CreateListHappyPathTests","createListAndVerifySuccessfulResponse"
"","1183","updateMovieRatingAndVerifyRatingIsUpdated","Gradle suite","Wed Sep 03 21:01:32 UTC 2025","passed","Wed Sep 03 21:01:33 UTC 2025","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","Gradle test","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","updateMovieRatingAndVerifyRatingIsUpdated"
"","585","createListAddRandomMovieFromTopRatedToCreatedListRemoveListAndVerifyListIsRemoved","Gradle suite","Wed Sep 03 21:01:26 UTC 2025","passed","Wed Sep 03 21:01:27 UTC 2025","org.themoviedb.lists.RemoveListHappyPathTests","Gradle test","org.themoviedb.lists.RemoveListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListRemoveListAndVerifyListIsRemoved"
"","154","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated","Gradle suite","Wed Sep 03 21:01:36 UTC 2025","passed","Wed Sep 03 21:01:36 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated"
"","114","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse","Gradle suite","Wed Sep 03 21:01:35 UTC 2025","passed","Wed Sep 03 21:01:36 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse"
"","1237","addRatingToMovieAndVerifyRatingIsAdded","Gradle suite","Wed Sep 03 21:01:27 UTC 2025","passed","Wed Sep 03 21:01:28 UTC 2025","org.themoviedb.movies.AddRatingToMovieHappyPathTests","Gradle test","org.themoviedb.movies.AddRatingToMovieHappyPathTests","addRatingToMovieAndVerifyRatingIsAdded"
