"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 07 20:28:37 GMT 2025","Thu Aug 07 20:28:37 GMT 2025","665","Gradle suite","Gradle test","org.themoviedb.lists.RemoveListHappyPathTests","org.themoviedb.lists.RemoveListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListRemoveListAndVerifyListIsRemoved","createListAddRandomMovieFromTopRatedToCreatedListRemoveListAndVerifyListIsRemoved",""
"passed","Thu Aug 07 20:28:37 GMT 2025","Thu Aug 07 20:28:39 GMT 2025","1312","Gradle suite","Gradle test","org.themoviedb.movies.AddRatingToMovieHappyPathTests","org.themoviedb.movies.AddRatingToMovieHappyPathTests","addRatingToMovieAndVerifyRatingIsAdded","addRatingToMovieAndVerifyRatingIsAdded",""
"passed","Thu Aug 07 20:28:34 GMT 2025","Thu Aug 07 20:28:35 GMT 2025","1440","Gradle suite","Gradle test","org.themoviedb.lists.CreateListHappyPathTests","org.themoviedb.lists.CreateListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListAndVerifyPresence","createListAddRandomMovieFromTopRatedToCreatedListAndVerifyPresence",""
"passed","Thu Aug 07 20:28:40 GMT 2025","Thu Aug 07 20:28:40 GMT 2025","137","Gradle suite","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse",""
"passed","Thu Aug 07 20:28:35 GMT 2025","Thu Aug 07 20:28:36 GMT 2025","712","Gradle suite","Gradle test","org.themoviedb.lists.CreateListHappyPathTests","org.themoviedb.lists.CreateListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListRemoveMovieFromListAndVerifyListIsEmpty","createListAddRandomMovieFromTopRatedToCreatedListRemoveMovieFromListAndVerifyListIsEmpty",""
"passed","Thu Aug 07 20:28:39 GMT 2025","Thu Aug 07 20:28:40 GMT 2025","416","Gradle suite","Gradle test","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","addRandomMovieFromTopRatedToWatchlistAndVerifyPresence","addRandomMovieFromTopRatedToWatchlistAndVerifyPresence",""
"passed","Thu Aug 07 20:28:40 GMT 2025","Thu Aug 07 20:28:40 GMT 2025","173","Gradle suite","Gradle test","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","addRandomMovieFromTopRatedToWatchlistAndVerifySuccessfulResponse","addRandomMovieFromTopRatedToWatchlistAndVerifySuccessfulResponse",""
"passed","Thu Aug 07 20:28:39 GMT 2025","Thu Aug 07 20:28:39 GMT 2025","145","Gradle suite","Gradle test","org.themoviedb.movies.AddRatingToMovieHappyPathTests","org.themoviedb.movies.AddRatingToMovieHappyPathTests","addRatingToMovieAndVerifySuccessfulResponse","addRatingToMovieAndVerifySuccessfulResponse",""
"passed","Thu Aug 07 20:28:40 GMT 2025","Thu Aug 07 20:28:41 GMT 2025","214","Gradle suite","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated",""
"passed","Thu Aug 07 20:28:36 GMT 2025","Thu Aug 07 20:28:36 GMT 2025","296","Gradle suite","Gradle test","org.themoviedb.lists.CreateListHappyPathTests","org.themoviedb.lists.CreateListHappyPathTests","createListAndVerifySuccessfulResponse","createListAndVerifySuccessfulResponse",""
"passed","Thu Aug 07 20:28:41 GMT 2025","Thu Aug 07 20:28:41 GMT 2025","205","Gradle suite","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated",""
"passed","Thu Aug 07 20:28:41 GMT 2025","Thu Aug 07 20:28:41 GMT 2025","370","Gradle suite","Gradle test","org.themoviedb.watchlist.AddSeveralMoviesWatchListHappyPathTests","org.themoviedb.watchlist.AddSeveralMoviesWatchListHappyPathTests","addRandomSeveralMovieFromTopRatedToWatchlistAndVerifyPresence","addRandomSeveralMovieFromTopRatedToWatchlistAndVerifyPresence",""
"passed","Thu Aug 07 20:28:40 GMT 2025","Thu Aug 07 20:28:40 GMT 2025","134","Gradle suite","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse",""
