"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","383","createListAddRandomMovieFromTopRatedToCreatedListRemoveListAndVerifyListIsRemoved","Gradle suite","Thu Aug 14 21:02:28 UTC 2025","passed","Thu Aug 14 21:02:28 UTC 2025","org.themoviedb.lists.RemoveListHappyPathTests","Gradle test","org.themoviedb.lists.RemoveListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListRemoveListAndVerifyListIsRemoved"
"","103","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated","Gradle suite","Thu Aug 14 21:02:44 UTC 2025","passed","Thu Aug 14 21:02:44 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated"
"","1143","addRatingToMovieAndVerifyRatingIsAdded","Gradle suite","Thu Aug 14 21:02:28 UTC 2025","passed","Thu Aug 14 21:02:29 UTC 2025","org.themoviedb.movies.AddRatingToMovieHappyPathTests","Gradle test","org.themoviedb.movies.AddRatingToMovieHappyPathTests","addRatingToMovieAndVerifyRatingIsAdded"
"","84","addRatingToMovieAndVerifySuccessfulResponse","Gradle suite","Thu Aug 14 21:02:29 UTC 2025","passed","Thu Aug 14 21:02:29 UTC 2025","org.themoviedb.movies.AddRatingToMovieHappyPathTests","Gradle test","org.themoviedb.movies.AddRatingToMovieHappyPathTests","addRatingToMovieAndVerifySuccessfulResponse"
"","75","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse","Gradle suite","Thu Aug 14 21:02:43 UTC 2025","passed","Thu Aug 14 21:02:44 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse"
"","65","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse","Gradle suite","Thu Aug 14 21:02:43 UTC 2025","passed","Thu Aug 14 21:02:43 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse"
"","1285","createListAddRandomMovieFromTopRatedToCreatedListAndVerifyPresence","Gradle suite","Thu Aug 14 21:02:25 UTC 2025","passed","Thu Aug 14 21:02:26 UTC 2025","org.themoviedb.lists.CreateListHappyPathTests","Gradle test","org.themoviedb.lists.CreateListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListAndVerifyPresence"
"","143","addRandomMovieFromTopRatedToWatchlistAndVerifyPresence","Gradle suite","Thu Aug 14 21:02:43 UTC 2025","passed","Thu Aug 14 21:02:43 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","addRandomMovieFromTopRatedToWatchlistAndVerifyPresence"
"","1253","updateMovieRatingAndVerifyRatingIsUpdated","Gradle suite","Thu Aug 14 21:02:41 UTC 2025","failed","Thu Aug 14 21:02:43 UTC 2025","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","Gradle test","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","updateMovieRatingAndVerifyRatingIsUpdated"
"","101","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated","Gradle suite","Thu Aug 14 21:02:44 UTC 2025","passed","Thu Aug 14 21:02:44 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated"
