"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1213","updateMovieRatingAndVerifyRatingIsUpdated","Gradle suite","Tue Sep 02 21:11:05 UTC 2025","passed","Tue Sep 02 21:11:07 UTC 2025","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","Gradle test","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","updateMovieRatingAndVerifyRatingIsUpdated"
"","656","createListAddRandomMovieFromTopRatedToCreatedListRemoveMovieFromListAndVerifyListIsEmpty","Gradle suite","Tue Sep 02 21:10:58 UTC 2025","passed","Tue Sep 02 21:10:59 UTC 2025","org.themoviedb.lists.CreateListHappyPathTests","Gradle test","org.themoviedb.lists.CreateListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListRemoveMovieFromListAndVerifyListIsEmpty"
"","1321","createListAddRandomMovieFromTopRatedToCreatedListAndVerifyPresence","Gradle suite","Tue Sep 02 21:10:56 UTC 2025","passed","Tue Sep 02 21:10:58 UTC 2025","org.themoviedb.lists.CreateListHappyPathTests","Gradle test","org.themoviedb.lists.CreateListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListAndVerifyPresence"
"","137","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse","Gradle suite","Tue Sep 02 21:11:10 UTC 2025","passed","Tue Sep 02 21:11:10 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse"
"","132","updateMovieRatingAndVerifySuccessfulResponse","Gradle suite","Tue Sep 02 21:11:09 UTC 2025","passed","Tue Sep 02 21:11:09 UTC 2025","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","Gradle test","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","updateMovieRatingAndVerifySuccessfulResponse"
"","141","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse","Gradle suite","Tue Sep 02 21:11:10 UTC 2025","passed","Tue Sep 02 21:11:10 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse"
"","135","addRatingToMovieAndVerifySuccessfulResponse","Gradle suite","Tue Sep 02 21:11:01 UTC 2025","passed","Tue Sep 02 21:11:02 UTC 2025","org.themoviedb.movies.AddRatingToMovieHappyPathTests","Gradle test","org.themoviedb.movies.AddRatingToMovieHappyPathTests","addRatingToMovieAndVerifySuccessfulResponse"
"","150","addRandomMovieFromTopRatedToWatchlistAndVerifySuccessfulResponse","Gradle suite","Tue Sep 02 21:11:10 UTC 2025","passed","Tue Sep 02 21:11:10 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","addRandomMovieFromTopRatedToWatchlistAndVerifySuccessfulResponse"
"","239","addRandomMovieFromTopRatedToWatchlistAndVerifyPresence","Gradle suite","Tue Sep 02 21:11:09 UTC 2025","passed","Tue Sep 02 21:11:10 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","addRandomMovieFromTopRatedToWatchlistAndVerifyPresence"
"","293","createListAndVerifySuccessfulResponse","Gradle suite","Tue Sep 02 21:10:59 UTC 2025","passed","Tue Sep 02 21:10:59 UTC 2025","org.themoviedb.lists.CreateListHappyPathTests","Gradle test","org.themoviedb.lists.CreateListHappyPathTests","createListAndVerifySuccessfulResponse"
"","1275","addRatingToMovieAndVerifyRatingIsAdded","Gradle suite","Tue Sep 02 21:11:00 UTC 2025","passed","Tue Sep 02 21:11:01 UTC 2025","org.themoviedb.movies.AddRatingToMovieHappyPathTests","Gradle test","org.themoviedb.movies.AddRatingToMovieHappyPathTests","addRatingToMovieAndVerifyRatingIsAdded"
"","2434","addRatingToMovieRemoveRatingAndVerifyRatingIsRemoved","Gradle suite","Tue Sep 02 21:11:02 UTC 2025","passed","Tue Sep 02 21:11:04 UTC 2025","org.themoviedb.movies.RemoveMovieRatingHappyPathTests","Gradle test","org.themoviedb.movies.RemoveMovieRatingHappyPathTests","addRatingToMovieRemoveRatingAndVerifyRatingIsRemoved"
"","625","createListAddRandomMovieFromTopRatedToCreatedListRemoveListAndVerifyListIsRemoved","Gradle suite","Tue Sep 02 21:10:59 UTC 2025","passed","Tue Sep 02 21:11:00 UTC 2025","org.themoviedb.lists.RemoveListHappyPathTests","Gradle test","org.themoviedb.lists.RemoveListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListRemoveListAndVerifyListIsRemoved"
"","202","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated","Gradle suite","Tue Sep 02 21:11:10 UTC 2025","passed","Tue Sep 02 21:11:11 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated"
"","191","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated","Gradle suite","Tue Sep 02 21:11:11 UTC 2025","passed","Tue Sep 02 21:11:11 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated"
"","389","addRandomSeveralMovieFromTopRatedToWatchlistAndVerifyPresence","Gradle suite","Tue Sep 02 21:11:11 UTC 2025","passed","Tue Sep 02 21:11:11 UTC 2025","org.themoviedb.watchlist.AddSeveralMoviesWatchListHappyPathTests","Gradle test","org.themoviedb.watchlist.AddSeveralMoviesWatchListHappyPathTests","addRandomSeveralMovieFromTopRatedToWatchlistAndVerifyPresence"
