"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","419","createListAddRandomMovieFromTopRatedToCreatedListRemoveMovieFromListAndVerifyListIsEmpty","Gradle suite","Thu Aug 21 20:34:55 UTC 2025","passed","Thu Aug 21 20:34:55 UTC 2025","org.themoviedb.lists.CreateListHappyPathTests","Gradle test","org.themoviedb.lists.CreateListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListRemoveMovieFromListAndVerifyListIsEmpty"
"","240","createListAndVerifySuccessfulResponse","Gradle suite","Thu Aug 21 20:34:55 UTC 2025","passed","Thu Aug 21 20:34:55 UTC 2025","org.themoviedb.lists.CreateListHappyPathTests","Gradle test","org.themoviedb.lists.CreateListHappyPathTests","createListAndVerifySuccessfulResponse"
"","86","addRandomMovieFromTopRatedToWatchlistAndVerifySuccessfulResponse","Gradle suite","Thu Aug 21 20:35:04 UTC 2025","passed","Thu Aug 21 20:35:04 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","addRandomMovieFromTopRatedToWatchlistAndVerifySuccessfulResponse"
"","1225","createListAddRandomMovieFromTopRatedToCreatedListAndVerifyPresence","Gradle suite","Thu Aug 21 20:34:53 UTC 2025","passed","Thu Aug 21 20:34:54 UTC 2025","org.themoviedb.lists.CreateListHappyPathTests","Gradle test","org.themoviedb.lists.CreateListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListAndVerifyPresence"
"","65","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse","Gradle suite","Thu Aug 21 20:35:05 UTC 2025","passed","Thu Aug 21 20:35:05 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse"
"","118","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated","Gradle suite","Thu Aug 21 20:35:05 UTC 2025","passed","Thu Aug 21 20:35:05 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated"
"","2178","addRatingToMovieRemoveRatingAndVerifyRatingIsRemoved","Gradle suite","Thu Aug 21 20:34:57 UTC 2025","passed","Thu Aug 21 20:34:59 UTC 2025","org.themoviedb.movies.RemoveMovieRatingHappyPathTests","Gradle test","org.themoviedb.movies.RemoveMovieRatingHappyPathTests","addRatingToMovieRemoveRatingAndVerifyRatingIsRemoved"
"","383","createListAddRandomMovieFromTopRatedToCreatedListRemoveListAndVerifyListIsRemoved","Gradle suite","Thu Aug 21 20:34:56 UTC 2025","passed","Thu Aug 21 20:34:56 UTC 2025","org.themoviedb.lists.RemoveListHappyPathTests","Gradle test","org.themoviedb.lists.RemoveListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListRemoveListAndVerifyListIsRemoved"
"","64","addRatingToMovieAndVerifySuccessfulResponse","Gradle suite","Thu Aug 21 20:34:57 UTC 2025","passed","Thu Aug 21 20:34:57 UTC 2025","org.themoviedb.movies.AddRatingToMovieHappyPathTests","Gradle test","org.themoviedb.movies.AddRatingToMovieHappyPathTests","addRatingToMovieAndVerifySuccessfulResponse"
"","70","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse","Gradle suite","Thu Aug 21 20:35:05 UTC 2025","passed","Thu Aug 21 20:35:05 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse"
"","196","addRandomSeveralMovieFromTopRatedToWatchlistAndVerifyPresence","Gradle suite","Thu Aug 21 20:35:05 UTC 2025","passed","Thu Aug 21 20:35:05 UTC 2025","org.themoviedb.watchlist.AddSeveralMoviesWatchListHappyPathTests","Gradle test","org.themoviedb.watchlist.AddSeveralMoviesWatchListHappyPathTests","addRandomSeveralMovieFromTopRatedToWatchlistAndVerifyPresence"
"","1129","addRatingToMovieAndVerifyRatingIsAdded","Gradle suite","Thu Aug 21 20:34:56 UTC 2025","passed","Thu Aug 21 20:34:57 UTC 2025","org.themoviedb.movies.AddRatingToMovieHappyPathTests","Gradle test","org.themoviedb.movies.AddRatingToMovieHappyPathTests","addRatingToMovieAndVerifyRatingIsAdded"
"","78","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated","Gradle suite","Thu Aug 21 20:35:05 UTC 2025","passed","Thu Aug 21 20:35:05 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated"
"","86","updateMovieRatingAndVerifySuccessfulResponse","Gradle suite","Thu Aug 21 20:35:04 UTC 2025","passed","Thu Aug 21 20:35:04 UTC 2025","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","Gradle test","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","updateMovieRatingAndVerifySuccessfulResponse"
"","145","addRandomMovieFromTopRatedToWatchlistAndVerifyPresence","Gradle suite","Thu Aug 21 20:35:04 UTC 2025","passed","Thu Aug 21 20:35:04 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","Gradle test","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","addRandomMovieFromTopRatedToWatchlistAndVerifyPresence"
"","1116","updateMovieRatingAndVerifyRatingIsUpdated","Gradle suite","Thu Aug 21 20:35:02 UTC 2025","passed","Thu Aug 21 20:35:03 UTC 2025","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","Gradle test","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","updateMovieRatingAndVerifyRatingIsUpdated"
