"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","140","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated","All API tests","Wed Oct 15 20:08:32 UTC 2025","passed","Wed Oct 15 20:08:33 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","All API tests","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated"
"","255","createListAndVerifySuccessfulResponse","All API tests","Wed Oct 15 20:08:33 UTC 2025","passed","Wed Oct 15 20:08:33 UTC 2025","org.themoviedb.lists.CreateListHappyPathTests","All API tests","org.themoviedb.lists.CreateListHappyPathTests","createListAndVerifySuccessfulResponse"
"","1532","createListAddRandomMovieFromTopRatedToCreatedListAndVerifyPresence","All API tests","Wed Oct 15 20:08:31 UTC 2025","passed","Wed Oct 15 20:08:32 UTC 2025","org.themoviedb.lists.CreateListHappyPathTests","All API tests","org.themoviedb.lists.CreateListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListAndVerifyPresence"
"","101","addRatingToMovieAndVerifySuccessfulResponse","All API tests","Wed Oct 15 20:08:33 UTC 2025","passed","Wed Oct 15 20:08:33 UTC 2025","org.themoviedb.movies.AddRatingToMovieHappyPathTests","All API tests","org.themoviedb.movies.AddRatingToMovieHappyPathTests","addRatingToMovieAndVerifySuccessfulResponse"
"","476","addRandomMovieFromTopRatedToWatchlistAndVerifyPresence","All API tests","Wed Oct 15 20:08:31 UTC 2025","passed","Wed Oct 15 20:08:31 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","All API tests","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","addRandomMovieFromTopRatedToWatchlistAndVerifyPresence"
"","2445","addRatingToMovieAndVerifyRatingIsAdded","All API tests","Wed Oct 15 20:08:31 UTC 2025","passed","Wed Oct 15 20:08:33 UTC 2025","org.themoviedb.movies.AddRatingToMovieHappyPathTests","All API tests","org.themoviedb.movies.AddRatingToMovieHappyPathTests","addRatingToMovieAndVerifyRatingIsAdded"
"","139","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated","All API tests","Wed Oct 15 20:08:32 UTC 2025","passed","Wed Oct 15 20:08:32 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","All API tests","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated"
"","91","updateMovieRatingAndVerifySuccessfulResponse","All API tests","Wed Oct 15 20:08:36 UTC 2025","passed","Wed Oct 15 20:08:36 UTC 2025","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","All API tests","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","updateMovieRatingAndVerifySuccessfulResponse"
"","1636","createListAddRandomMovieFromTopRatedToCreatedListRemoveListAndVerifyListIsRemoved","All API tests","Wed Oct 15 20:08:31 UTC 2025","passed","Wed Oct 15 20:08:32 UTC 2025","org.themoviedb.lists.RemoveListHappyPathTests","All API tests","org.themoviedb.lists.RemoveListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListRemoveListAndVerifyListIsRemoved"
"","3398","addRatingToMovieRemoveRatingAndVerifyRatingIsRemoved","All API tests","Wed Oct 15 20:08:32 UTC 2025","passed","Wed Oct 15 20:08:35 UTC 2025","org.themoviedb.movies.RemoveMovieRatingHappyPathTests","All API tests","org.themoviedb.movies.RemoveMovieRatingHappyPathTests","addRatingToMovieRemoveRatingAndVerifyRatingIsRemoved"
"","554","createListAddRandomMovieFromTopRatedToCreatedListRemoveMovieFromListAndVerifyListIsEmpty","All API tests","Wed Oct 15 20:08:32 UTC 2025","passed","Wed Oct 15 20:08:33 UTC 2025","org.themoviedb.lists.CreateListHappyPathTests","All API tests","org.themoviedb.lists.CreateListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListRemoveMovieFromListAndVerifyListIsEmpty"
"","429","addRandomSeveralMovieFromTopRatedToWatchlistAndVerifyPresence","All API tests","Wed Oct 15 20:08:31 UTC 2025","passed","Wed Oct 15 20:08:31 UTC 2025","org.themoviedb.watchlist.AddSeveralMoviesWatchListHappyPathTests","All API tests","org.themoviedb.watchlist.AddSeveralMoviesWatchListHappyPathTests","addRandomSeveralMovieFromTopRatedToWatchlistAndVerifyPresence"
"","1151","updateMovieRatingAndVerifyRatingIsUpdated","All API tests","Wed Oct 15 20:08:33 UTC 2025","passed","Wed Oct 15 20:08:34 UTC 2025","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","All API tests","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","updateMovieRatingAndVerifyRatingIsUpdated"
"","473","addRandomMovieFromTopRatedToWatchlistAndVerifySuccessfulResponse","All API tests","Wed Oct 15 20:08:31 UTC 2025","passed","Wed Oct 15 20:08:32 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","All API tests","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","addRandomMovieFromTopRatedToWatchlistAndVerifySuccessfulResponse"
"","143","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse","All API tests","Wed Oct 15 20:08:32 UTC 2025","passed","Wed Oct 15 20:08:32 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","All API tests","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse"
"","142","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse","All API tests","Wed Oct 15 20:08:32 UTC 2025","passed","Wed Oct 15 20:08:32 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","All API tests","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse"
