"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Aug 14 20:47:22 GMT 2025","Thu Aug 14 20:47:23 GMT 2025","1146","Gradle suite","Gradle test","org.themoviedb.movies.AddRatingToMovieHappyPathTests","org.themoviedb.movies.AddRatingToMovieHappyPathTests","addRatingToMovieAndVerifyRatingIsAdded","addRatingToMovieAndVerifyRatingIsAdded",""
"passed","Thu Aug 14 20:47:37 GMT 2025","Thu Aug 14 20:47:37 GMT 2025","128","Gradle suite","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated",""
"failed","Thu Aug 14 20:47:35 GMT 2025","Thu Aug 14 20:47:36 GMT 2025","1126","Gradle suite","Gradle test","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","updateMovieRatingAndVerifyRatingIsUpdated","updateMovieRatingAndVerifyRatingIsUpdated",""
"passed","Thu Aug 14 20:47:37 GMT 2025","Thu Aug 14 20:47:38 GMT 2025","288","Gradle suite","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated",""
"failed","Thu Aug 14 20:47:36 GMT 2025","Thu Aug 14 20:47:37 GMT 2025","104","Gradle suite","Gradle test","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","updateMovieRatingAndVerifySuccessfulResponse","updateMovieRatingAndVerifySuccessfulResponse",""
"passed","Thu Aug 14 20:47:37 GMT 2025","Thu Aug 14 20:47:37 GMT 2025","71","Gradle suite","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse",""
"passed","Thu Aug 14 20:47:19 GMT 2025","Thu Aug 14 20:47:20 GMT 2025","1366","Gradle suite","Gradle test","org.themoviedb.lists.CreateListHappyPathTests","org.themoviedb.lists.CreateListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListAndVerifyPresence","createListAddRandomMovieFromTopRatedToCreatedListAndVerifyPresence",""
"passed","Thu Aug 14 20:47:21 GMT 2025","Thu Aug 14 20:47:21 GMT 2025","424","Gradle suite","Gradle test","org.themoviedb.lists.CreateListHappyPathTests","org.themoviedb.lists.CreateListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListRemoveMovieFromListAndVerifyListIsEmpty","createListAddRandomMovieFromTopRatedToCreatedListRemoveMovieFromListAndVerifyListIsEmpty",""
"passed","Thu Aug 14 20:47:37 GMT 2025","Thu Aug 14 20:47:37 GMT 2025","102","Gradle suite","Gradle test","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","addRandomMovieFromTopRatedToWatchlistAndVerifySuccessfulResponse","addRandomMovieFromTopRatedToWatchlistAndVerifySuccessfulResponse",""
"passed","Thu Aug 14 20:47:22 GMT 2025","Thu Aug 14 20:47:22 GMT 2025","339","Gradle suite","Gradle test","org.themoviedb.lists.RemoveListHappyPathTests","org.themoviedb.lists.RemoveListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListRemoveListAndVerifyListIsRemoved","createListAddRandomMovieFromTopRatedToCreatedListRemoveListAndVerifyListIsRemoved",""
"passed","Thu Aug 14 20:47:21 GMT 2025","Thu Aug 14 20:47:21 GMT 2025","227","Gradle suite","Gradle test","org.themoviedb.lists.CreateListHappyPathTests","org.themoviedb.lists.CreateListHappyPathTests","createListAndVerifySuccessfulResponse","createListAndVerifySuccessfulResponse",""
"passed","Thu Aug 14 20:47:23 GMT 2025","Thu Aug 14 20:47:23 GMT 2025","79","Gradle suite","Gradle test","org.themoviedb.movies.AddRatingToMovieHappyPathTests","org.themoviedb.movies.AddRatingToMovieHappyPathTests","addRatingToMovieAndVerifySuccessfulResponse","addRatingToMovieAndVerifySuccessfulResponse",""
"passed","Thu Aug 14 20:47:38 GMT 2025","Thu Aug 14 20:47:38 GMT 2025","198","Gradle suite","Gradle test","org.themoviedb.watchlist.AddSeveralMoviesWatchListHappyPathTests","org.themoviedb.watchlist.AddSeveralMoviesWatchListHappyPathTests","addRandomSeveralMovieFromTopRatedToWatchlistAndVerifyPresence","addRandomSeveralMovieFromTopRatedToWatchlistAndVerifyPresence",""
"broken","Thu Aug 14 20:47:23 GMT 2025","Thu Aug 14 20:47:35 GMT 2025","11649","Gradle suite","Gradle test","org.themoviedb.movies.RemoveRatingToMovieHappyPathTests","org.themoviedb.movies.RemoveRatingToMovieHappyPathTests","addRatingToMovieRemoveRatingAndVerifyRatingIsRemoved","addRatingToMovieRemoveRatingAndVerifyRatingIsRemoved",""
"passed","Thu Aug 14 20:47:37 GMT 2025","Thu Aug 14 20:47:37 GMT 2025","59","Gradle suite","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse",""
