"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 14 20:18:51 GMT 2025","Thu Aug 14 20:18:51 GMT 2025","403","Gradle suite","Gradle test","org.themoviedb.lists.CreateListHappyPathTests","org.themoviedb.lists.CreateListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListRemoveMovieFromListAndVerifyListIsEmpty","createListAddRandomMovieFromTopRatedToCreatedListRemoveMovieFromListAndVerifyListIsEmpty",""
"broken","Thu Aug 14 20:18:54 GMT 2025","Thu Aug 14 20:19:05 GMT 2025","11622","Gradle suite","Gradle test","org.themoviedb.movies.RemoveRatingToMovieHappyPathTests","org.themoviedb.movies.RemoveRatingToMovieHappyPathTests","addRatingToMovieRemoveRatingAndVerifyRatingIsRemoved","addRatingToMovieRemoveRatingAndVerifyRatingIsRemoved",""
"passed","Thu Aug 14 20:18:49 GMT 2025","Thu Aug 14 20:18:51 GMT 2025","1252","Gradle suite","Gradle test","org.themoviedb.lists.CreateListHappyPathTests","org.themoviedb.lists.CreateListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListAndVerifyPresence","createListAddRandomMovieFromTopRatedToCreatedListAndVerifyPresence",""
"passed","Thu Aug 14 20:19:08 GMT 2025","Thu Aug 14 20:19:08 GMT 2025","171","Gradle suite","Gradle test","org.themoviedb.watchlist.AddSeveralMoviesWatchListHappyPathTests","org.themoviedb.watchlist.AddSeveralMoviesWatchListHappyPathTests","addRandomSeveralMovieFromTopRatedToWatchlistAndVerifyPresence","addRandomSeveralMovieFromTopRatedToWatchlistAndVerifyPresence",""
"failed","Thu Aug 14 20:18:52 GMT 2025","Thu Aug 14 20:18:53 GMT 2025","1144","Gradle suite","Gradle test","org.themoviedb.movies.AddRatingToMovieHappyPathTests","org.themoviedb.movies.AddRatingToMovieHappyPathTests","addRatingToMovieAndVerifyRatingIsAdded","addRatingToMovieAndVerifyRatingIsAdded",""
"passed","Thu Aug 14 20:19:07 GMT 2025","Thu Aug 14 20:19:07 GMT 2025","61","Gradle suite","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse",""
"passed","Thu Aug 14 20:19:07 GMT 2025","Thu Aug 14 20:19:07 GMT 2025","61","Gradle suite","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse",""
"passed","Thu Aug 14 20:19:07 GMT 2025","Thu Aug 14 20:19:07 GMT 2025","118","Gradle suite","Gradle test","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","addRandomMovieFromTopRatedToWatchlistAndVerifyPresence","addRandomMovieFromTopRatedToWatchlistAndVerifyPresence",""
"passed","Thu Aug 14 20:18:51 GMT 2025","Thu Aug 14 20:18:52 GMT 2025","235","Gradle suite","Gradle test","org.themoviedb.lists.CreateListHappyPathTests","org.themoviedb.lists.CreateListHappyPathTests","createListAndVerifySuccessfulResponse","createListAndVerifySuccessfulResponse",""
"passed","Thu Aug 14 20:19:07 GMT 2025","Thu Aug 14 20:19:07 GMT 2025","98","Gradle suite","Gradle test","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","org.themoviedb.watchlist.AddMovieWatchListHappyPathTests","addRandomMovieFromTopRatedToWatchlistAndVerifySuccessfulResponse","addRandomMovieFromTopRatedToWatchlistAndVerifySuccessfulResponse",""
"passed","Thu Aug 14 20:18:53 GMT 2025","Thu Aug 14 20:18:54 GMT 2025","89","Gradle suite","Gradle test","org.themoviedb.movies.AddRatingToMovieHappyPathTests","org.themoviedb.movies.AddRatingToMovieHappyPathTests","addRatingToMovieAndVerifySuccessfulResponse","addRatingToMovieAndVerifySuccessfulResponse",""
"passed","Thu Aug 14 20:19:07 GMT 2025","Thu Aug 14 20:19:07 GMT 2025","87","Gradle suite","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated",""
"failed","Thu Aug 14 20:19:05 GMT 2025","Thu Aug 14 20:19:06 GMT 2025","1094","Gradle suite","Gradle test","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","updateMovieRatingAndVerifyRatingIsUpdated","updateMovieRatingAndVerifyRatingIsUpdated",""
"passed","Thu Aug 14 20:19:07 GMT 2025","Thu Aug 14 20:19:08 GMT 2025","97","Gradle suite","Gradle test","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated",""
"passed","Thu Aug 14 20:18:52 GMT 2025","Thu Aug 14 20:18:52 GMT 2025","406","Gradle suite","Gradle test","org.themoviedb.lists.RemoveListHappyPathTests","org.themoviedb.lists.RemoveListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListRemoveListAndVerifyListIsRemoved","createListAddRandomMovieFromTopRatedToCreatedListRemoveListAndVerifyListIsRemoved",""
"failed","Thu Aug 14 20:19:07 GMT 2025","Thu Aug 14 20:19:07 GMT 2025","80","Gradle suite","Gradle test","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","updateMovieRatingAndVerifySuccessfulResponse","updateMovieRatingAndVerifySuccessfulResponse",""
