"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","150","addRatingToMovieAndVerifySuccessfulResponse","All API tests","Mon Sep 29 19:48:37 UTC 2025","passed","Mon Sep 29 19:48:37 UTC 2025","org.themoviedb.movies.AddRatingToMovieHappyPathTests","All API tests","org.themoviedb.movies.AddRatingToMovieHappyPathTests","addRatingToMovieAndVerifySuccessfulResponse"
"","465","addRandomSeveralMovieFromTopRatedToWatchlistAndVerifyPresence","All API tests","Mon Sep 29 19:48:36 UTC 2025","passed","Mon Sep 29 19:48:36 UTC 2025","org.themoviedb.watchlist.AddSeveralMoviesWatchListHappyPathTests","All API tests","org.themoviedb.watchlist.AddSeveralMoviesWatchListHappyPathTests","addRandomSeveralMovieFromTopRatedToWatchlistAndVerifyPresence"
"","112","updateMovieRatingAndVerifySuccessfulResponse","All API tests","Mon Sep 29 19:48:39 UTC 2025","passed","Mon Sep 29 19:48:40 UTC 2025","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","All API tests","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","updateMovieRatingAndVerifySuccessfulResponse"
"","1832","createListAddRandomMovieFromTopRatedToCreatedListAndVerifyPresence","All API tests","Mon Sep 29 19:48:35 UTC 2025","passed","Mon Sep 29 19:48:37 UTC 2025","org.themoviedb.lists.CreateListHappyPathTests","All API tests","org.themoviedb.lists.CreateListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListAndVerifyPresence"
"","238","createListAndVerifySuccessfulResponse","All API tests","Mon Sep 29 19:48:38 UTC 2025","passed","Mon Sep 29 19:48:39 UTC 2025","org.themoviedb.lists.CreateListHappyPathTests","All API tests","org.themoviedb.lists.CreateListHappyPathTests","createListAndVerifySuccessfulResponse"
"","2436","addRatingToMovieRemoveRatingAndVerifyRatingIsRemoved","All API tests","Mon Sep 29 19:48:36 UTC 2025","passed","Mon Sep 29 19:48:39 UTC 2025","org.themoviedb.movies.RemoveMovieRatingHappyPathTests","All API tests","org.themoviedb.movies.RemoveMovieRatingHappyPathTests","addRatingToMovieRemoveRatingAndVerifyRatingIsRemoved"
"","1264","updateMovieRatingAndVerifyRatingIsUpdated","All API tests","Mon Sep 29 19:48:37 UTC 2025","passed","Mon Sep 29 19:48:38 UTC 2025","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","All API tests","org.themoviedb.movies.UpdateMovieRatingHappyPathTests","updateMovieRatingAndVerifyRatingIsUpdated"
"","175","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse","All API tests","Mon Sep 29 19:48:37 UTC 2025","passed","Mon Sep 29 19:48:37 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","All API tests","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyUnsuccessfulResponse"
"","201","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated","All API tests","Mon Sep 29 19:48:37 UTC 2025","passed","Mon Sep 29 19:48:37 UTC 2025","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","All API tests","org.themoviedb.watchlist.AddMovieWatchListNegativeTests","passWrongRequestToAddToWatchlistAndVerifyWatchListIsNotUpdated"
"","587","createListAddRandomMovieFromTopRatedToCreatedListRemoveMovieFromListAndVerifyListIsEmpty","All API tests","Mon Sep 29 19:48:37 UTC 2025","passed","Mon Sep 29 19:48:38 UTC 2025","org.themoviedb.lists.CreateListHappyPathTests","All API tests","org.themoviedb.lists.CreateListHappyPathTests","createListAddRandomMovieFromTopRatedToCreatedListRemoveMovieFromListAndVerifyListIsEmpty"
